id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bentuk_kekerasan,jumlah_korban,satuan,tahun
255,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SEKSUAL,0,ORANG,2018
256,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,EKSPLOITASI,0,ORANG,2018
257,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TRAFFICKING,1,ORANG,2018
258,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PENELANTARAN,0,ORANG,2018
259,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAINNYA,0,ORANG,2018
260,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,FISIK,0,ORANG,2018
261,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PSIKIS,0,ORANG,2018
262,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SEKSUAL,0,ORANG,2018
263,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,EKSPLOITASI,0,ORANG,2018
264,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TRAFFICKING,0,ORANG,2018
265,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PENELANTARAN,0,ORANG,2018
266,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAINNYA,0,ORANG,2018
267,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,FISIK,0,ORANG,2018
268,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PSIKIS,0,ORANG,2018
269,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SEKSUAL,0,ORANG,2018
270,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,EKSPLOITASI,0,ORANG,2018
271,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TRAFFICKING,0,ORANG,2018
272,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PENELANTARAN,0,ORANG,2018
273,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAINNYA,0,ORANG,2018
274,32,JAWA BARAT,3213,KABUPATEN SUBANG,FISIK,20,ORANG,2018
275,32,JAWA BARAT,3213,KABUPATEN SUBANG,PSIKIS,0,ORANG,2018
276,32,JAWA BARAT,3213,KABUPATEN SUBANG,SEKSUAL,37,ORANG,2018
277,32,JAWA BARAT,3213,KABUPATEN SUBANG,EKSPLOITASI,0,ORANG,2018
278,32,JAWA BARAT,3213,KABUPATEN SUBANG,TRAFFICKING,6,ORANG,2018
279,32,JAWA BARAT,3213,KABUPATEN SUBANG,PENELANTARAN,1,ORANG,2018
280,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAINNYA,0,ORANG,2018
281,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,FISIK,0,ORANG,2018
282,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PSIKIS,0,ORANG,2018
283,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SEKSUAL,0,ORANG,2018
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,EKSPLOITASI,0,ORANG,2018
285,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TRAFFICKING,0,ORANG,2018
